
1546013960.460183189, Reeti takes a break
1546013970.985009465, Reeti standby
1546013971.944650918, exp1 f mode
1546013971.944748506, face tracking, off
1546013973.952059346, reeti turn to, 1
1546013973.952131801, 1, u
1546013975.587511337, user press, u
1546013977.386892636, exp1 f mode
1546013977.386922373, face tracking, off
1546013979.389532498, reeti turn to, 0
1546013979.389569351, 1, v
1546013981.004807818, user press, v
1546013982.678762432, exp1 f mode
1546013982.678796811, face tracking, off
1546013984.681292607, reeti turn to, 0
1546013984.681325838, 1, v
1546013986.340774357, user press, v
1546013988.079232173, exp1 f mode
1546013988.079268908, face tracking, off
1546013990.082196880, reeti turn to, 1
1546013990.082227940, 0, v
1546013991.820096636, user press, v
1546013993.635574911, exp1 f mode
1546013993.635735975, face tracking, off
1546013995.638997515, reeti turn to, 1
1546013995.639074057, 1, v
1546013997.347661285, user press, v
1546013998.994894779, exp1 f mode
1546013998.994931310, face tracking, off
1546014000.997898691, reeti turn to, 1
1546014000.997964047, 1, v
1546014002.615060145, user press, v
1546014004.222416063, exp1 f mode
1546014004.222456175, face tracking, off
1546014006.230664886, reeti turn to, 1
1546014006.230714388, 1, v
1546014007.767846506, user press, v
1546014009.367029294, exp1 f mode
1546014009.367190196, face tracking, off
1546014011.370884891, reeti turn to, 0
1546014011.370999459, 0, u
1546014013.007411059, user press, u
1546014014.500496662, exp1 f mode
1546014014.500549094, face tracking, off
1546014016.504648588, reeti turn to, 0
1546014016.504722239, 1, u
1546014018.144881665, user press, u
1546014019.592373591, exp1 f mode
1546014019.592400482, face tracking, off
1546014021.595495426, reeti turn to, 0
1546014021.595558787, 0, v
1546014023.168620977, user press, v
1546014024.776155107, Reeti takes a break
1546014034.342972899, Reeti standby
1546014035.431606328, exp1 f mode
1546014035.431666105, face tracking, off
1546014037.435292895, reeti turn to, 0
1546014037.435341082, 1, u
1546014039.137494771, user press, u
1546014040.753601131, exp1 f mode
1546014040.753642564, face tracking, off
1546014042.756549105, reeti turn to, 0
1546014042.756603347, 0, u
1546014044.451679787, user press, u
1546014045.812329150, exp1 f mode
1546014045.812357197, face tracking, off
1546014047.815138325, reeti turn to, 0
1546014047.815186710, 1, v
1546014049.372439285, user press, v
1546014050.849950592, exp1 f mode
1546014050.849978922, face tracking, off
1546014052.853365385, reeti turn to, 1
1546014052.853415521, 1, v
1546014054.466880919, user press, v
1546014056.063264676, exp1 f mode
1546014056.063318978, face tracking, off
1546014058.066360814, reeti turn to, 1
1546014058.066410861, 0, u
1546014059.621953945, user press, u
1546014061.524140052, exp1 f mode
1546014061.524172168, face tracking, off
1546014063.532318536, reeti turn to, 1
1546014063.532354686, 1, u
1546014065.214199434, user press, u
1546014067.114513915, exp1 f mode
1546014067.114597525, face tracking, off
1546014069.118130799, reeti turn to, 1
1546014069.118160889, 1, v
1546014070.830061678, user press, v
1546014072.290145801, exp1 f mode
1546014072.290172021, face tracking, off
1546014074.292835419, reeti turn to, 1
1546014074.292864945, 0, u
1546014075.887627231, user press, u
1546014077.799132305, exp1 f mode
1546014077.799194081, face tracking, off
1546014079.802546957, reeti turn to, 0
1546014079.802642689, 0, u
1546014081.431582804, user press, u
1546014083.153835960, exp1 f mode
1546014083.153866399, face tracking, off
1546014085.156811232, reeti turn to, 1
1546014085.156851061, 0, u
1546014086.839647116, user press, u
1546014088.805607408, exp1 f mode
1546014088.805652691, face tracking, off
1546014090.808342551, reeti turn to, 0
1546014090.808375738, 1, v
1546014092.418091377, user press, v
1546014094.305672397, Reeti takes a break
1546014106.650652512, Reeti standby
1546014108.303666916, exp1 f mode
1546014108.303798535, face tracking, off
1546014110.311068968, reeti turn to, 0
1546014110.311125961, 1, v
1546014111.908593249, user press, v
1546014113.726869714, exp1 f mode
1546014113.726899514, face tracking, off
1546014115.729879607, reeti turn to, 0
1546014115.729923033, 0, v
1546014117.340886780, user press, v
1546014119.159803105, exp1 f mode
1546014119.160018223, face tracking, off
1546014121.165294405, reeti turn to, 1
1546014121.165327380, 0, u
1546014122.833034106, user press, u
1546014124.342297680, exp1 f mode
1546014124.342334324, face tracking, off
1546014126.345319265, reeti turn to, 1
1546014126.345363074, 1, u
1546014127.886535382, user press, u
1546014129.581384301, exp1 f mode
